Category;Sub-Category;Month;Millions of Dollars
Alcoholic beverages;Beer;1976-01-01;9908
Alcoholic beverages;Beer;1976-02-01;9994
Alcoholic beverages;Beer;1976-03-01;10127
Alcoholic beverages;Beer;1976-04-01;10204
Alcoholic beverages;Beer;1976-05-01;10233
Alcoholic beverages;Beer;1976-06-01;10481
Alcoholic beverages;Beer;1976-07-01;10500
Alcoholic beverages;Beer;1976-08-01;10537
Alcoholic beverages;Beer;1976-09-01;10586
Alcoholic beverages;Beer;1976-10-01;10752
Alcoholic beverages;Beer;1976-11-01;10677
Alcoholic beverages;Beer;1976-12-01;10788
Alcoholic beverages;Beer;1977-01-01;10729
Alcoholic beverages;Beer;1977-02-01;11331
Alcoholic beverages;Beer;1977-03-01;11099
Alcoholic beverages;Beer;1977-04-01;11206
Alcoholic beverages;Beer;1977-05-01;11305
Alcoholic beverages;Beer;1977-06-01;11288
Alcoholic beverages;Beer;1977-07-01;11347
Alcoholic beverages;Beer;1977-08-01;11299
Alcoholic beverages;Beer;1977-09-01;11263
Alcoholic beverages;Beer;1977-10-01;11475
Alcoholic beverages;Beer;1977-11-01;11725
Alcoholic beverages;Beer;1977-12-01;11687
Alcoholic beverages;Beer;1978-01-01;11710
Alcoholic beverages;Beer;1978-02-01;12003
Alcoholic beverages;Beer;1978-03-01;12293
Alcoholic beverages;Beer;1978-04-01;12370
Alcoholic beverages;Beer;1978-05-01;12552
Alcoholic beverages;Beer;1978-06-01;12816
Alcoholic beverages;Beer;1978-07-01;12917
Alcoholic beverages;Beer;1978-08-01;13116
Alcoholic beverages;Beer;1978-09-01;13456
Alcoholic beverages;Beer;1978-10-01;13382
Alcoholic beverages;Beer;1978-11-01;13656
Alcoholic beverages;Beer;1978-12-01;13749
Alcoholic beverages;Beer;1979-01-01;13996
Alcoholic beverages;Beer;1979-02-01;14133
Alcoholic beverages;Beer;1979-03-01;14259
Alcoholic beverages;Beer;1979-04-01;14273
Alcoholic beverages;Beer;1979-05-01;14424
Alcoholic beverages;Beer;1979-06-01;15083
Alcoholic beverages;Beer;1979-07-01;15049
Alcoholic beverages;Beer;1979-08-01;15283
Alcoholic beverages;Beer;1979-09-01;15583
Alcoholic beverages;Beer;1979-10-01;15450
Alcoholic beverages;Beer;1979-11-01;15880
Alcoholic beverages;Beer;1979-12-01;16095
Alcoholic beverages;Beer;1980-01-01;16602
Alcoholic beverages;Beer;1980-02-01;16566
Alcoholic beverages;Beer;1980-03-01;16762
Alcoholic beverages;Beer;1980-04-01;16834
Alcoholic beverages;Beer;1980-05-01;17027
Alcoholic beverages;Beer;1980-06-01;17081
Alcoholic beverages;Beer;1980-07-01;17087
Alcoholic beverages;Beer;1980-08-01;17513
Alcoholic beverages;Beer;1980-09-01;17497
Alcoholic beverages;Beer;1980-10-01;17793
Alcoholic beverages;Beer;1980-11-01;18030
Alcoholic beverages;Beer;1980-12-01;18148
Alcoholic beverages;Beer;1981-01-01;18419
Alcoholic beverages;Beer;1981-02-01;18525
Alcoholic beverages;Beer;1981-03-01;18521
Alcoholic beverages;Beer;1981-04-01;18757
Alcoholic beverages;Beer;1981-05-01;18925
Alcoholic beverages;Beer;1981-06-01;19035
Alcoholic beverages;Beer;1981-07-01;19236
Alcoholic beverages;Beer;1981-08-01;19590
Alcoholic beverages;Beer;1981-09-01;19587
Alcoholic beverages;Beer;1981-10-01;19889
Alcoholic beverages;Beer;1981-11-01;19989
Alcoholic beverages;Beer;1981-12-01;20587
Alcoholic beverages;Beer;1982-01-01;20479
Alcoholic beverages;Beer;1982-02-01;20681
Alcoholic beverages;Beer;1982-03-01;20753
Alcoholic beverages;Beer;1982-04-01;21025
Alcoholic beverages;Beer;1982-05-01;21137
Alcoholic beverages;Beer;1982-06-01;21053
Alcoholic beverages;Beer;1982-07-01;21329
Alcoholic beverages;Beer;1982-08-01;21157
Alcoholic beverages;Beer;1982-09-01;21316
Alcoholic beverages;Beer;1982-10-01;21660
Alcoholic beverages;Beer;1982-11-01;21469
Alcoholic beverages;Beer;1982-12-01;21681
Alcoholic beverages;Beer;1983-01-01;21607
Alcoholic beverages;Beer;1983-02-01;21978
Alcoholic beverages;Beer;1983-03-01;22155
Alcoholic beverages;Beer;1983-04-01;22324
Alcoholic beverages;Beer;1983-05-01;22330
Alcoholic beverages;Beer;1983-06-01;22505
Alcoholic beverages;Beer;1983-07-01;22730
Alcoholic beverages;Beer;1983-08-01;22769
Alcoholic beverages;Beer;1983-09-01;22924
Alcoholic beverages;Beer;1983-10-01;22839
Alcoholic beverages;Beer;1983-11-01;23098
Alcoholic beverages;Beer;1983-12-01;23187
Alcoholic beverages;Beer;1984-01-01;22948
Alcoholic beverages;Beer;1984-02-01;22650
Alcoholic beverages;Beer;1984-03-01;22843
Alcoholic beverages;Beer;1984-04-01;22916
Alcoholic beverages;Beer;1984-05-01;23000
Alcoholic beverages;Beer;1984-06-01;23395
Alcoholic beverages;Beer;1984-07-01;23316
Alcoholic beverages;Beer;1984-08-01;23404
Alcoholic beverages;Beer;1984-09-01;23546
Alcoholic beverages;Beer;1984-10-01;23475
Alcoholic beverages;Beer;1984-11-01;23614
Alcoholic beverages;Beer;1984-12-01;23685
Alcoholic beverages;Beer;1985-01-01;23974
Alcoholic beverages;Beer;1985-02-01;23931
Alcoholic beverages;Beer;1985-03-01;24049
Alcoholic beverages;Beer;1985-04-01;24325
Alcoholic beverages;Beer;1985-05-01;24233
Alcoholic beverages;Beer;1985-06-01;24282
Alcoholic beverages;Beer;1985-07-01;24450
Alcoholic beverages;Beer;1985-08-01;24689
Alcoholic beverages;Beer;1985-09-01;25704
Alcoholic beverages;Beer;1985-10-01;25000
Alcoholic beverages;Beer;1985-11-01;25426
Alcoholic beverages;Beer;1985-12-01;25783
Alcoholic beverages;Beer;1986-01-01;25951
Alcoholic beverages;Beer;1986-02-01;25920
Alcoholic beverages;Beer;1986-03-01;26194
Alcoholic beverages;Beer;1986-04-01;25871
Alcoholic beverages;Beer;1986-05-01;26012
Alcoholic beverages;Beer;1986-06-01;26317
Alcoholic beverages;Beer;1986-07-01;26302
Alcoholic beverages;Beer;1986-08-01;26016
Alcoholic beverages;Beer;1986-09-01;26116
Alcoholic beverages;Beer;1986-10-01;26331
Alcoholic beverages;Beer;1986-11-01;26049
Alcoholic beverages;Beer;1986-12-01;26002
Alcoholic beverages;Beer;1987-01-01;25992
Alcoholic beverages;Beer;1987-02-01;26242
Alcoholic beverages;Beer;1987-03-01;26007
Alcoholic beverages;Beer;1987-04-01;26118
Alcoholic beverages;Beer;1987-05-01;26125
Alcoholic beverages;Beer;1987-06-01;25940
Alcoholic beverages;Beer;1987-07-01;25975
Alcoholic beverages;Beer;1987-08-01;26188
Alcoholic beverages;Beer;1987-09-01;26123
Alcoholic beverages;Beer;1987-10-01;26320
Alcoholic beverages;Beer;1987-11-01;26323
Alcoholic beverages;Beer;1987-12-01;26436
Alcoholic beverages;Beer;1988-01-01;26199
Alcoholic beverages;Beer;1988-02-01;26091
Alcoholic beverages;Beer;1988-03-01;26888
Alcoholic beverages;Beer;1988-04-01;26485
Alcoholic beverages;Beer;1988-05-01;26927
Alcoholic beverages;Beer;1988-06-01;26685
Alcoholic beverages;Beer;1988-07-01;26630
Alcoholic beverages;Beer;1988-08-01;26950
Alcoholic beverages;Beer;1988-09-01;26645
Alcoholic beverages;Beer;1988-10-01;26648
