"category","sub_category","aggregation_date","millions_of_dollar","pipeline_exc_datetime"
"Alcoholic beverages","Beer","2020-03-01","82503","2024-07-02"
"Alcoholic beverages","Beer","2020-08-01","78675","2024-07-02"
"Alcoholic beverages","Beer","2020-09-01","78580","2024-07-02"
"Alcoholic beverages","Beer","2019-08-01","67590","2024-07-02"
"Alcoholic beverages","Beer","2019-11-01","67437","2024-07-02"
"Alcoholic beverages","Beer","2019-07-01","67434","2024-07-02"
"Alcoholic beverages","Beer","2018-11-01","65969","2024-07-02"
"Alcoholic beverages","Beer","2018-10-01","65533","2024-07-02"
"Alcoholic beverages","Beer","2018-09-01","65301","2024-07-02"
"Alcoholic beverages","Beer","2017-12-01","63925","2024-07-02"
"Alcoholic beverages","Beer","2017-11-01","63654","2024-07-02"
"Alcoholic beverages","Beer","2017-10-01","63504","2024-07-02"
"Alcoholic beverages","Beer","2016-11-01","61175","2024-07-02"
"Alcoholic beverages","Beer","2016-09-01","61071","2024-07-02"
"Alcoholic beverages","Beer","2016-10-01","60986","2024-07-02"
"Alcoholic beverages","Beer","2015-12-01","58997","2024-07-02"
"Alcoholic beverages","Beer","2015-11-01","58511","2024-07-02"
"Alcoholic beverages","Beer","2015-09-01","58449","2024-07-02"
"Alcoholic beverages","Beer","2014-12-01","56845","2024-07-02"
"Alcoholic beverages","Beer","2014-10-01","56636","2024-07-02"
"Alcoholic beverages","Beer","2014-11-01","56462","2024-07-02"
"Alcoholic beverages","Beer","2013-12-01","54457","2024-07-02"
"Alcoholic beverages","Beer","2013-11-01","54095","2024-07-02"
"Alcoholic beverages","Beer","2013-09-01","53769","2024-07-02"
"Alcoholic beverages","Beer","2012-05-01","53943","2024-07-02"
"Alcoholic beverages","Beer","2012-06-01","53810","2024-07-02"
"Alcoholic beverages","Beer","2012-04-01","53761","2024-07-02"
"Alcoholic beverages","Beer","2011-11-01","52696","2024-07-02"
"Alcoholic beverages","Beer","2011-10-01","52471","2024-07-02"
"Alcoholic beverages","Beer","2011-09-01","52374","2024-07-02"
"Alcoholic beverages","Beer","2010-11-01","51945","2024-07-02"
"Alcoholic beverages","Beer","2010-10-01","51881","2024-07-02"
"Alcoholic beverages","Beer","2010-08-01","51849","2024-07-02"
