"category","sub_category","aggregation_date","millions_of_dollar","pipeline_exc_datetime"
"Meats and poultry","Beef and veal","2020-03-01","60917","2024-07-02"
"Meats and poultry","Beef and veal","2020-05-01","54877","2024-07-02"
"Meats and poultry","Beef and veal","2020-07-01","54393","2024-07-02"
"Meats and poultry","Beef and veal","2019-07-01","49537","2024-07-02"
"Meats and poultry","Beef and veal","2019-08-01","49515","2024-07-02"
"Meats and poultry","Beef and veal","2019-11-01","49399","2024-07-02"
"Meats and poultry","Beef and veal","2018-11-01","48126","2024-07-02"
"Meats and poultry","Beef and veal","2018-10-01","47816","2024-07-02"
"Meats and poultry","Beef and veal","2018-08-01","47676","2024-07-02"
"Meats and poultry","Beef and veal","2017-12-01","47320","2024-07-02"
"Meats and poultry","Beef and veal","2017-11-01","46732","2024-07-02"
"Meats and poultry","Beef and veal","2017-10-01","46583","2024-07-02"
"Meats and poultry","Beef and veal","2015-02-01","45503","2024-07-02"
"Meats and poultry","Beef and veal","2015-01-01","45404","2024-07-02"
"Meats and poultry","Beef and veal","2015-04-01","45229","2024-07-02"
"Meats and poultry","Beef and veal","2016-12-01","45049","2024-07-02"
"Meats and poultry","Beef and veal","2016-02-01","44977","2024-07-02"
"Meats and poultry","Beef and veal","2016-10-01","44941","2024-07-02"
"Meats and poultry","Beef and veal","2014-12-01","45277","2024-07-02"
"Meats and poultry","Beef and veal","2014-11-01","45233","2024-07-02"
"Meats and poultry","Beef and veal","2014-10-01","45178","2024-07-02"
"Meats and poultry","Beef and veal","2013-12-01","43009","2024-07-02"
"Meats and poultry","Beef and veal","2013-11-01","42558","2024-07-02"
"Meats and poultry","Beef and veal","2013-10-01","42533","2024-07-02"
"Meats and poultry","Beef and veal","2012-12-01","40922","2024-07-02"
"Meats and poultry","Beef and veal","2012-11-01","40847","2024-07-02"
"Meats and poultry","Beef and veal","2012-10-01","40762","2024-07-02"
"Meats and poultry","Beef and veal","2011-10-01","39493","2024-07-02"
"Meats and poultry","Beef and veal","2011-11-01","39419","2024-07-02"
"Meats and poultry","Beef and veal","2011-12-01","39391","2024-07-02"
"Meats and poultry","Beef and veal","2010-12-01","36990","2024-07-02"
"Meats and poultry","Beef and veal","2010-11-01","36841","2024-07-02"
"Meats and poultry","Beef and veal","2010-10-01","36260","2024-07-02"
"Meats and poultry","Beef and veal","2009-12-01","35670","2024-07-02"
"Meats and poultry","Beef and veal","2009-01-01","35585","2024-07-02"
"Meats and poultry","Beef and veal","2009-09-01","35491","2024-07-02"
"Meats and poultry","Beef and veal","2008-11-01","35259","2024-07-02"
"Meats and poultry","Beef and veal","2008-10-01","35207","2024-07-02"
"Meats and poultry","Beef and veal","2008-12-01","35190","2024-07-02"
"Meats and poultry","Beef and veal","2007-12-01","33242","2024-07-02"
"Meats and poultry","Beef and veal","2007-11-01","32975","2024-07-02"
"Meats and poultry","Beef and veal","2007-10-01","32655","2024-07-02"
